English,Spanish,Portuguese
driver,conductor,condutor
concentrate,concentrado,concentrado
throat,garganta,garganta
prom,paseo,baile de formatura
messages,mensajes,mensagens
east,este,leste
unit,unidad,unidade
intend,intentar,pretender
Hayward,Hena,Hayward
Dan,Dan,Dan.
crew,tripulación,equipe
ashamed,avergonzado,envergonhado
somethin,algo,alguma coisa
midnight,medianoche,meia-noite
manage,gestionar,gerir
guilt,culpa,culpa
weapons,armas,Armas
terms,condiciones,termos.
interrupt,interrumpir,interromper
guts,vísceras,estômago
tongue,lengua,língua
distance,distancia,distância
conference,conferencia,conferência
treatment,tratamiento,tratamento
shoe,zapato,sapato
Kane,Kane,Kane.
basement,sótano,porão
Alexandra,Alexandra,Alexandra.
sentence,frase,sentença
purse,bolso,Bolsa
Hilda,Hilda,Hilda
glasses,vasos,óculos
cabin,cabina,cabine
universe,universo,universo
towards,hacia,em direção
repeat,repetir,repita
mirror,espejo,espelho
wound,herida,ferimento
Travers,Travesuras,Atravessa
Matthew,Mateo,Mateus
tall,alto,alta
reaction,reacción,reação
odd,impar,chance
engagement,compromiso,noivado
therapy,terapia,terapia
letters,letras,letras
emotional,emocional,emocional
runs,carreras,corre
magazine,revista,revista
jeez,jeez,jeez.
decisions,decisiones,decisões
soup,sopa,sopa
daughter's,hija,filha
thrilled,fascinado,entusiasmado
Buchanan,Buchanano,Buchanan.
society,sociedad,sociedade
managed,administrado,gerenciou
Dixie,Marmita,Dixie.
sue,demandar,processar
stake,apostar,estaca
rex,rex,Rex.
chef,cocinero,chefe de cozinha
moves,movimientos,movimentos.
awesome,increíble,impressionante
genius,genio,gênio
extremely,extremadamente,extremamente
entirely,enteramente,inteiramente
tory,conservador,tório
nasty,desagradable,nojento
moments,momentos,momentos
expensive,caro,caro
counting,contando,Contando
shots,tiros,tiros
kidnapped,secuestrado,seqüestrado
square,cuadrado,quadrado
Seattle,Seattle,Seattle.
son's,hijos,filhos
London,Londres,Londres
cleaning,limpieza,limpeza
shift,cambio,mudança
plate,lámina,prato
Zack,Zaqueta,Zack.
impressed,impresionado,impressionado
smells,olores,cheira
trapped,atrapado,encurralado
male,masculino,macho
tour,gira,percorrer
Aidan,Aidan,Aidan.
knocked,golpeado,batido
charming,encantador,encantador
attractive,atractivo,atraente
argue,discutir,argumentar
Sunday,domingo,domingo
puts,pone,coloca
whip,látigo,chicote
language,idioma,língua
heck,infierno,diabos
embarrassed,avergonzado,envergonhado
settled,establecido,assentou
package,paquete,pacote
laid,establecido,disposto
animals,animales,animais
hitting,golpe,batendo
disease,enfermedad,doença
bust,busto,fracasso
stairs,escalera,escadas
Lizzie,Genoveva,Lizzie.
alarm,alarma,alarme
pure,puro,puro
nail,uña,unha
nerve,nervio,nervo
incredibly,increíblemente,incrivelmente
hill,colina,Colina
walks,camina,anda em
lane,carril,faixa
dirt,tierra,sujeira
bond,vínculo,ligação
stamp,sello,carimbo
sister's,hermana,irmã
becoming,convirtiéndose,tornando-se
terribly,terriblemente,terrivelmente
friendly,amistoso,amigáveis
easily,fácilmente,facilmente
damned,maldito,condenado
jobs,trabajos,empregos
suffering,sufrimiento,Sofrimento
disgusting,repugnante,repugnante
Washington,Washington,Washington.
stopping,parada,parando
deliver,entregar,entregar
riding,montando,cavalgando
helps,ayuda,ajuda
federal,federal,Federal
disaster,desastre,desastre
bars,barras,barras
DNA,ADN,DNA.
crossed,cruzado,cruzado
rate,Velocidad,avaliar
create,crear,crio
trap,trampa,armadilha
claim,afirmar,alegar
Christine,Christine,Christine.
California,California,Califórnia
talks,negociaciones,conversas
eggs,huevos,ovos
effect,efecto,efeito
chick,polluelo,pintainho
turkey,pavo,Turquia
threatening,amenazante,ameaçador
spoken,hablado,falou
snake,serpiente,cobra
introduce,introducir,introduzir
rescue,rescate,resgate
confession,confesión,confissão
embarrassing,embarazoso,embaraçoso
bags,pantalón,bolsas
lover,amante,amante
impression,impresión,impressão
gate,portón,portão
Kim,Kim,Kim.
fantasy,fantasía,fantasia
year's,años,anos
reputation,reputación,reputação
balls,pelotas,bolas
attacked,atacado,atacado
among,entre,dentre
lt,lt,lt.
knowledge,conocimiento,conhecimento
presents,presenta,apresenta
inn,Posada,Pousada
Europe,Europa,Europa
chat,chat,bate-papo
suffer,sufrir,Sofra
Bryant,Bryant,Bryant
argument,argumento,argumento
talkin,Talkin,Talkin
crowd,multitud,multidão
Montgomery,Montgomery,Montgomery
homework,tarea,trabalho de casa
fought,luchado,disputado
coincidence,coincidencia,coincidência
cancel,cancelar,cancelar
accepted,aceptado,aceitaram
rip,rotura,rasgar
pride,orgullo,orgulho
solve,resolver,resolver
hopefully,Ojalá,esperançosamente
Walter,Walter,Walter.
pounds,libras,libras
pine,pino,pinho
mate,compañero,amigo
illegal,ilegal,ilegal
generous,generoso,generoso
Tommy,Tommy,Tommy.
streets,calles,ruas
Matt,Mate,Matt.
director,director,diretor
glen,cañada,Glen.
con,estafa,vigarista
separate,separar,separado
outfit,atuendo,roupa
maid,mucama,empregada doméstica
bath,baño,banho de banheira
punch,puñetazo,soco
Phil,Phil,Phil
mayor,alcalde,prefeito
Helen,Helen,Helen
freaked,hecho anormalmente,assustado
begging,mendicidad,implorando
recall,recuerdo,lembrar
enjoying,disfrutando,desfrutando
bug,error,erro
woman's,mujer,mulher
prepare,preparar,preparar
parts,partes,partes
wheel,rueda,roda
signal,señal,sinal
Nikki,Nikki,Nikki.
direction,dirección,direção
defend,defender,defender
signs,señales,sinais
painful,doloroso,doloroso
Caroline,carolino,Caroline.
yourselves,ustedes mismos,a si mesmos
walls,paredes,Paredes.
rat,rata,rato
Maris,Maris,Maris
amount,Monto,quantia
that'd,eso,isso
suspicious,suspicaz,suspeito
hearts,corazones,corações.
flat,plano,apartamento
cooking,Cocinando,cozinhando
button,botón,botão
warned,prevenido,avisou
sixty,sesenta,sessenta
pity,pena,pena
parties,fiestas,festas
crisis,crisis,crise
Rae,Rae,Rae.
coach,entrenador,técnico
Abbott,Abbott,Abbott.
row,hilera,fileira
baseball,béisbol,baseball
yelling,Gritando,gritando
leads,Guías,conduz
awhile,Un rato,um tempo
pen,bolígrafo,caneta
confidence,confianza,confiança
offering,ofrecimiento,oferta
falls,caídas,cai
carter,carretero,Carter.
image,imagen,imagem
farm,granja,Fazenda
pleased,satisfecho,satisfeito
panic,pánico,pânico
Monday,lunes,segunda-feira
hers,suyo,dela
gettin,gettin,ficando
smith,Herrero,Smith.
role,papel,Função
refuse,negar,recusar
determined,determinado,determinado
Jane,Jane,Jane.
hell's,infierno,Hell's.
grandpa,abuelo,Vovô
progress,Progreso,progresso
Mexico,México,México
testify,testificar,testemunhar
passing,paso,passagem
military,militar,militares
choices,opciones,escolhas
artist,artista,artista
William,William,William
wh,WH,wh.
uhh,uhh,uhh.
gym,Gimnasio,Academia
cruel,cruel,cruel
wings,alas,asas
traffic,tráfico,tráfego
pink,rosado,Rosa
bodies,cuerpos,corpos
mental,mental,mental
gentleman,Caballero,cavalheiro
coma,coma,coma
poison,veneno,Poção
cutting,corte,corte
Proteus,Proteo,Proteus.
guests,huéspedes,convidados
girl's,muchachas,garotas
expert,experto,especialista
bull,Toro,touro
benefit,beneficio,beneficiar
bell,campana,Sino
faces,caras,rostos
cases,casos,Casos.
Mimi,Mimi,Mimi.
ghost,fantasma,fantasma
led,dirigió,conduziu
jumped,saltó,saltou
Audrey,Audrey,Audrey.
toilet,inodoro,toalete
secretary,secretario,secretário
sneak,furtivo,esgueirar-se
q,q,Q.
mix,mezcla,misturar
Marty,Marty,Marty.
Greta,Greta,Greta
firm,firma,empresa
Halloween,Víspera de Todos los Santos,dia das Bruxas
Barry,Barry,Barry
agreement,convenio,acordo
privacy,intimidad,privacidade
dates,fechas,datas
anniversary,aniversario,aniversário
smoking,de fumar,fumar
reminds,recuerda,lembra
pot,maceta,Panela
created,creado,criada
Wesley,Wesley,Wesley.
twins,mellizos,gêmeos
swing,columpio,balanço
successful,exitoso,bem-sucedido
season,temporada,temporada
scream,grito,gritar
considered,considerado,considerado
solid,sólido,sólido
options,opciones,Opções
flash,destello,clarão
commitment,compromiso,compromisso
senior,mayor,Senior
ill,enfermo,doente
else's,de lo demás,mais de's.
crush,Persona especial,A paixão súbita
ambulance,ambulancia,ambulância
wallet,billetera,carteira
Thomas,Thomas,Thomas.
Logan,Logan,Logan.
discovered,descubierto,descoberto
officially,oficialmente,oficialmente
gang,pandilla,gangue
til,til,til
rise,subir,elevação
reached,alcanzado,alcançado
eleven,once,onze
option,opción,opção
laundry,ropa sucia,lavanderia
former,anterior,antigo
assure,asegurar,assegurar
stays,corsé,permanece
skip,saltar,pular
hunt,cazar,caçar
fail,fallar,falhar
accused,acusado,acusado
wide,amplio,Largo
Robert,Robert,Robert
challenge,desafío,desafio
Snyder,Snyder,Snyder.
popular,popular,popular
learning,aprendiendo,Aprendendo
discussion,discusión,discussão
clinic,clínica,clínica
plant,planta,plantar
exchange,intercambio,troca
betrayed,traicionado,traído
bro,hermano,irmão
sticking,pega,furar
university,Universidad,universidade
target,objetivo,alvo
members,miembros,membros
lower,más bajo,diminuir
bored,aburrido,entediado
mansion,mansión,mansão
soda,soda,soda
silver,plata,prata
sheriff,alguacil,xerife
suite,suite,suíte
handled,manejado,manipulado
busted,Arrestado,pego
senator,senador,senador
Harold,Harold,Harold.
load,carga,carga
happier,más feliz,mais feliz
younger,mas joven,mais jovem
studying,estudiando,estudando
romance,romance,romance
procedure,procedimiento,procedimento
ocean,Oceano,oceano
section,sección,seção
Fred,Fred,Fred.
winter,invierno,inverno
sec,segundo,sec.
commit,cometer,comprometer-se
bones,huesos,ossos
assignment,asignación,atribuição
suicide,suicidio,suicídio
spread,propagar,espalhar
Quinn,Quinn,Quinn.
minds,mentalidad,mentes
fishing,pesca,pescaria
swim,nadar,nadar
ending,finalizando,final
bat,murciélago,bastão
yell,gritar,gritar
llanview,llanview,llanview.
league,liga,liga
chasing,persecución,perseguindo
seats,asientos,assentos
proper,adecuado,apropriado
holiday,día festivo,feriado
command,mando,comando
believes,cree,acredita
humor,humor,humor
hopes,esperanzas,espera
fifth,quinto,quinto
winning,victorioso,ganhando
solution,solución,solução
leader,líder,líder
yellow,amarillo,amarelo
Theresa's,Theresa's,Theresa's.
sharp,afilado,focado
sale,venta,oferta
Randy,Cachondo,Randy.
lawyers,abogados,Advogados de Advogados
giant,gigante,gigante
nor,ni,nem
material,material,material
latest,más reciente,Mais recentes
ash,ceniza,cinza
highly,altamente,altamente
escaped,escapado,escapou
audience,audiencia,público
winner,ganador,vencedora
parent,padre,pai
burns,quemaduras,queimaduras
tricks,trucos,truques
insist,insistir,insistir
dropping,goteante,cair
cheer,alegría,alegrar
medication,medicamento,medicamento
higher,más alto,superior
flesh,carne,carne
district,distrito,distrito
wood,madera,Madeira
routine,rutina,rotina
Zelda,Zelda,Zelda.
cookies,galletas,biscoitos
century,siglo,século
shared,compartido,compartilhado
sandwich,Sandwich,sanduíche
psycho,psicópata,psicopata
handed,entregó,entregue
FALSE,FALSO,FALSO
beating,golpeando,espancamento
appear,aparecer,aparecer
adult,adulto,adulto
warrant,orden,garantia
spike,pico,Espigão
garden,jardín,Jardim
family's,de la familia,família
awfully,muy,muito
odds,impares,chances
article,artículo,artigo
treating,tratando,tratamento
thin,delgada,fino
suggesting,sugerencia,sugerindo
Palmer,Palmero,Palmer.
fever,fiebre,febre
female,mujer,fêmea
sweat,sudor,suor
silent,silencio,silencioso
specific,específico,específico
clever,inteligente,esperto
sweater,suéter,agasalho
request,solicitar,solicitar
prize,premio,prêmio
mall,centro comercial,Shopping
tries,intentos,tentativas
mile,milla,milha
manning,manada,tripulação
fully,completamente,completamente
estate,inmuebles,Estado
diamond,diamante,diamante
union,Unión,União
sharing,intercambio,compartilhamento
Jamie,Jamie,Jamie.
assuming,asumiendo,assumindo.
judgment,juicio,julgamento
goodnight,buenas noches,boa noite
divorced,divorciado,divorciado
quality,calidad,qualidade
despite,A pesar de,Apesar de
Colby,Colby,Colby
surely,seguramente,certamente
steps,pasos,degraus
jet,chorro,jato
confess,confesar,confessar
Bart,Bárbaro,Bart
mountain,montaña,montanha
math,Matemáticas,matemática
listened,escuchado,Ouvido
comin,comin,vindo
answered,respondido,respondidas
vulnerable,vulnerable,vulnerável
Boston,Bostón,Boston
bless,bendecir,abençoar
dreaming,soñando,sonhando
rooms,habitaciones,quartos
Claire,Clave,Claire.
chip,chip,lasca
zero,cero,zero
potential,potencial,potencial
pissed,Molesto,puto
Nate,Nata,Nate.
kills,matanza,mata
grant,conceder,conceder
wolf,Lobo,Lobo
tears,lágrimas,pranto
knees,rodillas,joelhos
chill,enfriar,frio
Carly's,Carly's,Carly's.
blonde,Rubio,Loiras
brains,sesos,cérebros
agency,agencia,agência
Harvard,Harvard,Harvard
degree,grado,grau
unusual,raro,incomum
wife's,esposa,esposa
joint,articulación,articulação
rob,robar,roubar
packed,lleno,embalado
Mel,Mel,Mel.
dreamed,soñado,sonhou
cure,cura,cura
covering,cubierta,cobertura
newspaper,periódico,jornal
lookin,pase a ver,olhar dentro
coast,costa,costa
grave,tumba,Cova
egg,huevo,ovo
direct,directo,direto
cheating,infiel,traindo
breaks,descanso,rompe
quarter,trimestre,trimestre
orange,naranja,laranja
mixed,mezclado,misturado
locker,armario,armário
husband's,de marido,marido
gifts,regalos,presentes.
brand,marca,marca
awkward,incómodo,estranho
toy,juguete,brinquedo
Thursday,jueves,quinta-feira
rare,raro,cru
policy,política,política
pilar,pilar,Pilar.
kid's,niños,crianças
joking,bromas,brincadeira
competition,competencia,concorrência
classes,clases,Aulas
assumed,ficticio,assumido
reasonable,razonable,razoável
dozen,docena,dúzia
curse,maldición,xingamento
Quartermaine,Cuartererma,Quartaemaine.
millions,millones,Milhões
dessert,postre,sobremesa
rolling,laminación,rolando
detail,detalle,detalhe
alien,extraterrestre,estrangeiro
served,servido,servido
delicious,delicioso,delicioso
closing,clausura,fechamento
vampires,vampiros,Vampiros
released,liberado,lançado
Mackenzie,Mackenzie,Mackenzie
ancient,antiguo,ancestral
wore,vistió,vestiu
value,valor,valor
tail,cola,cauda
site,sitio,local
secure,seguro,seguro
salad,ensalada,salada
murderer,asesino,assassino
Margaret,Margaret,Margaret.
hits,golpes,exitos
toward,hacia,em direção a
spit,escupir,cuspir
screen,pantalla,tela
pilot,piloto,piloto
penny,centavo,centavo
offense,ofensa,ofensa
dust,polvo,pó
conscience,conciencia,consciência
Carl,Carl,Carl.
bread,pan,pão
answering,contestador,respondendo
admitted,aceptado,admitido
lame,aburrido,muito ruim
invitation,invitación,convite
hidden,oculto,escondido
grief,dolor,pesar
smiling,sonriente,sorridente
path,sendero,caminho
homer,homero,Homer
destiny,destino,destino
del,del,del.
stands,soportes,Stands.
bowl,cuenco,tigela
pregnancy,el embarazo,gravidez
Laurie,Laurie,Laurie.
Hollywood,Hollywood,Hollywood
co,co,co.
prisoner,prisionero,prisioneiro
delivery,entrega,Entrega
Jenny,Jenny,Jenny.
guards,guardias,guardas
desire,deseo,desejo
virus,virus,vírus
shrink,encogerse,psiquiatra
influence,influencia,influência
freezing,congelación,congelando
concert,concierto,show
wreck,naufragio,naufrágio
partners,socios,Parceiros
Massimo,Massimo,Massimo.
chain,cadena,corrente
birds,aves,aves
walker,caminante,andador
life's,la vida,vida de vida
wire,cable,fio
technically,técnicamente,tecnicamente
presence,presencia,presença
blown,estropeado,soprado
anxious,ansioso,ansioso
cave,cueva,caverna
version,versión,versão
mickey,mickey,mickey.
holidays,Días festivos,feriados
cleared,despejado,limpo
wishes,deseos,desejos
survived,sobrevivió,sobreviveu
caring,cuidando,carinhoso
candles,velas,velas
bound,Unido,limite
related,relacionada,relacionado
Gabrielle,Gabrielle,Gabrielle.
charm,encanto,charme
apple,manzana,maçã
yup,sí,sim
Texas,Texas,Texas.
pulse,legumbres,pulso
jumping,saltando,pulando
jokes,chistes,piadas
frame,marco,quadro
boom,auge,estrondo
vice,vicio,vice
performance,rendimiento,atuação
occasion,ocasión,ocasião
silence,silencio,silêncio
opera,ópera,ópera
opal,ópalo,opala
nonsense,disparates,Absurdo
Julie,Julie,Julie.
frightened,aterrado,assustado
downtown,centro,Centro da cidade
Americans,Estadounidenses,Americanos
Joshua,Josué,Joshua
internet,Internet,Internet
Valerie,Valerie,Valerie.
slipped,resbalado,escorregou
Lucinda,Lucinda,Lucinda
holly,acebo,azevinho
duck,Pato,Pato
dimera,dimera,dimera.
blowing,soplo,sopro
world's,del mundo,os mundos
session,sesión,sessão
relationships,relaciones,relacionamentos.
kidnapping,secuestro,seqüestrar
England,Inglaterra,Inglaterra
actual,real,real
spin,vuelta,rodar
classic,clásico,clássico
civil,civil,Civil
tool,herramienta,ferramenta
Roxy,Roxy,Roxy.
packing,embalaje,embalagem
education,educación,Educação
blaming,culpable,culpando
wrap,envoltura,enrolar
obsessed,obsesionado,obcecado
fruit,Fruta,fruta
torture,tortura,tortura
personality,personalidad,personalidade
location,localización,localização
loan,préstamo,empréstimo
effort,esfuerzo,esforço
daddy's,papi,papai
commander,comandante,comandante
trees,árboles,Árvores
there'll,hay,Lá
rocks,rocas,Rochas
owner,dueño,proprietário
fairy,hada,fada
banks,bancos,bancos
network,red,rede
per,por,por
other's,otros,outras
necessarily,necesariamente,necessariamente
Louis,Louis,Louis
county,condado,condado
contest,concurso,concurso
chuck,arrojar,mandril
seventy,setenta,setenta
print,imprimir,impressão
motel,motel,motel
fallen,caído,caído
directly,directamente,diretamente
underwear,ropa interior,roupa de baixo
grams,gramos,gramas.
exhausted,exhausto,Exausta
believing,creyente,acreditando
Thorne,Thorne,Thorne.
particularly,particularmente,particularmente
freaking,maldito,enlouquecedor
carefully,con cuidado,cuidadosamente
trace,rastro,vestígio
touching,conmovedor,tocando
messing,jugador,bagunçando
Hughes,abrazos,Hughes.
committee,comité,Comitê.
smooth,suave,suave
recovery,recuperación,recuperação
intention,intención,intenção
enter,ingresar,digitar
consequences,Consecuencias,consequências
belt,cinturón,cinto
standard,estándar,padrão
sacrifice,sacrificio,sacrifício
marina,puerto pequeño,marina
courage,coraje,coragem
butter,manteca,manteiga
officers,oficiales,oficiais
enjoyed,disfruté,curtiu
ad,anuncio,de Anúncios
lack,falta,falta
buck,dólar,bode
attracted,atraído,atraído
appears,aparece,parece
Spencer,Spencer,Spencer.
bay,Bahía,Baía
yard,yarda,Jardim
returned,devuelto,devolvida
remove,retirar,remover
nut,nuez,porca
carried,transportado,carregou
today's,de hoy,de hoje
testimony,testimonio,testemunho
intense,intenso,intenso
granted,otorgado,garantido
Alice,Alicia,Alice
violence,violencia,violência
Peggy,Pegajoso,Peggy.
heal,curar,curar
defending,defensor,defender
attempt,intento,tentar
unfair,injusto,Injusto
relieved,aliviado,aliviado
political,político,político
loyal,leal,fiel
approach,Acercarse,aproximação
slowly,despacio,devagar
plays,obras de teatro,tocam
normally,normalmente,normalmente
buzz,zumbido,zumbido
alcohol,alcohol,álcool
actor,actor,ator
surprises,sorpresas,surpresas
psychiatrist,psiquiatra,psiquiatra
pre,pre,pré
plain,simple,simples
attic,ático,sótão
who'd,quien había,quem iria
uniform,uniforme,uniforme
terrified,aterrorizado,aterrorizado
sons,hijos,filhos
pet,mascota,bicho de estimação
Kristen,Kristen,Kristen.
cleaned,limpiado,limpo
Zach,Zach,Zach
threaten,amenazar,ameaçar
teaching,enseñando,ensino
mum,mamá,mãe
motion,movimiento,movimento
fella,afligido,fella.
enemies,enemigos,inimigos
desert,Desierto,deserto
collection,colección,coleção
Roxanne,Roxanne,Roxanne.
incident,incidente,incidente
failure,falla,falha
satisfied,satisfecho,satisfeito
imagination,imaginación,imaginação
hooked,enganchado,viciado
headache,dolor de cabeza,dor de cabeça
forgetting,olvidando,esquecendo
counselor,consejero,conselheiro
Andie,Andie,Andie
acted,actuado,agiu
opposite,opuesto,oposto
highest,más alto,Altíssima
gross,bruto,Bruto
golden,dorado,dourado
equipment,equipo,equipamento
badge,Insignia,distintivo
tennis,tenis,tênis
Italian,italiano,italiano
visiting,visitando,visitando
Tricia,Tricia,Tricia.
studio,estudio,estúdio
naturally,naturalmente,naturalmente
frozen,congelado,congeladas
commissioner,notario,comissário
sakes,sake,SAKE.
Lorelei,Lorelei,Lorelei.
labor,labor,trabalho
glory,gloria,glória
appropriate,apropiado,apropriado
Africa,África,África
trunk,tronco,porta-malas
armed,armado,armado
twisted,retorcido,torcido
thousands,miles,milhares
received,recibió,recebido
dunno,No sé,Não sei
costume,disfraz,traje
temporary,temporal,temporário
sixteen,dieciséis,dezesseis
impressive,impresionante,impressionante
zone,zona,zona
kitty,gatito,gatinha
kicking,pateando,chutando
junk,basura,lixo
hon,estupendo,hon
grabbed,agarrado,agarrou
France,Francia,França
unlike,a diferencia de,diferente
understands,entiende,entende
mercy,misericordia,Misericórdia
describe,describir,descrever
Wayne,Wayne,Wayne.
priest,sacerdote,padre
Cordelia,Cordelia,Cordelia.
clients,clientela,Clientes.
cable,cable,cabo
owns,poseer,é proprietária
affect,afectar,afetar
witnesses,testigos,Testemunhas
starving,hambriento,morrendo de fome
Robbie,Robbie,Robbie.
instincts,instintos,instintos
happily,felizmente,Felizmente
discussing,que se discute,discutindo.
deserved,merecido,merecida
strangers,extraño,estranhos
leading,principal,principal
intelligence,inteligencia,inteligência
host,anfitrión,hospedar
authority,autoridad,autoridade
surveillance,vigilancia,vigilância
cow,vaca,vaca
commercial,comercial,comercial
admire,admirar,admirar
Williams,Williams,Williams.
Tuesday,martes,terça-feira
shadow,sombra,sombra
questioning,interrogatorio,questionamento
fund,fondo,fundo
dragged,arrastrado,arrastada
barn,granero,celeiro
object,objeto,objeto
Doug,Doug,Doug.
deeply,profundamente,profundamente
amp,amperio,amp
wrapped,envuelto,envolto
wasted,desperdiciado,desperdiçado
Vega,Vega,Vega.
tense,tiempo,tenso
sport,deporte,esporte
route,ruta,rota
reports,informes,relatórios
Reese,Reese,Reese.
plastic,el plastico,plástico
hoped,esperado,esperava
fellas,Fallas,Fellas.
election,elección,eleição
roommate,compañero de habitación,companheiro de quarto
pierce,atravesar,perfurar
mortal,mortal,mortal
fascinating,fascinante,fascinante
chosen,elegido,escolhido
stops,paradas,pára
shown,mostrado,mostrando
arranged,organizado,arranjado
Arnold,Arnold,Arnold.
abandoned,abandonado,abandonado
sides,lados,lados
delivered,entregado,entregue
china,porcelana,China
becomes,se convierte en,torna-se
arrangements,preparativos,arranjos
agenda,agenda,agenda
Linda,linda,Linda
hunting,caza,Caçando
began,empezó,começasse
theater,teatro,Teatro
series,serie,Series
literally,literalmente,literalmente
propose,proponer,propor
Howard,Howard,Howard.
honesty,honestidad,honestidade
basketball,baloncesto,basquetebol
underneath,debajo,debaixo de
forces,efectivo,forças
soldier,soldado,soldado
services,servicios,Serviços
sauce,salsa,molho
review,revisión,Reveja
promises,promesas,promessas
Oz,Onz,Oz
lecture,conferencia,palestra
Greg,Greg,GREG.
eighty,ochenta,oitenta
brandy,brandy,conhaque
bills,facturas,notas
Bauer,Bauer,Bauer.
windows,ventanas,janelas
torn,Rasgado,rasgado
shocked,conmocionado,chocado
relief,alivio,alívio
Nathan,Nathan,Nathan.
Jones,Jones,Jones
horses,caballos,cavalos
golf,golf,golfe
Florida,Florida,Flórida
explained,explicado,explicado
counter,encimera,contador
Niki,Niki,Niki.
Lauren,Lauren,Lauren.
design,diseño,Projeto
circle,circulo,círculo
victims,víctimas,Vítimas.
transfer,transferir,transferir
Stanley,Stanley,Stanley.
response,respuesta,resposta
channel,canal,canal
backup,apoyo,cópia de segurança
identity,identidad,identidade
differently,diferentemente,diferentemente
campus,instalaciones,campus
spy,espiar,espião
ninety,noventa,noventa
interests,intereses,interesses.
guide,guía,guia
Emma,Emma,Emma.
Elliot,Elliot,Elliot.
deck,plataforma,área coberta
biological,biológico,biológico
Vince,Vince,Vince
SD,Dakota del Sur,SD
pheebs,penebete,Pheebs.
minor,menor,menor
ease,facilitar,facilidade
creep,arrastrarse,rastejar
Will's,Will,Will's.
waitress,camarera,garçonete
skills,habilidades,Habilidades
Bobbie,Bobbie,Bobbie.
telephone,teléfono,Telefone
photos,fotografías,Fotos
Keith,Keith,Keith.
Catalina,Catalina,Catalina
ripped,rasgado,rasgado
raising,levantamiento,subindo
scratch,rasga,"coçar, arranhão"
rings,anillos,argolas
prints,huellas dactilares,impressões.
flower,flor,Flor
wave,onda,aceno
thee,El e,te
arguing,discutiendo,discutindo.
royal,real,real
laws,leyes,Leis
figures,cifras,Figuras
Ephram,Efram,Efram
Ellison,Elison,Ellison.
asks,pregunta,pergunta
writer,escritor,escritor
reception,recepción,recepção
pin,alfiler,PIN
oops,UPS,oops.
gt,gt,gt.
diner,cena,o jantar
annoying,molesto,irritante
agents,agentes,agentes
taggert,taggert,Taggert.
goal,meta,meta
council,Consejo,conselho
mass,masa,massa
ability,capacidad,habilidade
sergeant,sargento,sargento
Julian's,Julian's,Julian's.
international,internacional,internacional
id,identificación,eu ia
Gina,Gina,Gina
gig,Curro,gig.
Davidson,Davidson,Davidson.
blast,explosión,explosão
basic,básico,Básico
wing,ala,ASA
tradition,tradicion,tradição
towel,toalla,toalha
Steven,Steven,Steven.
Jenkins,Jenkins,Jenkins.
earned,ganado,ganhou
clown,payaso,palhaço
rub,frotar,esfregar
president's,presidente,presidente
habit,hábito,hábito
customers,clientes,clientes
creature,criatura,criatura
counts,recuento,conta
Bermuda,islas Bermudas,Bermudas
actions,comportamiento,ações
snap,quebrar,foto
Roman,romano,romano
react,reaccionar,reagir
prime,principal,melhor
paranoid,paranoico,paranoico.
pace,ritmo,ritmo
wha,wha,Wha
Romeo,Romeo,Romeo.
handling,manejo,manuseio
eaten,comido,comido
dahlia,dalia,dália
therapist,terapeuta,terapeuta
comment,comentario,Comente
charged,cargado,carregada
tax,impuesto,imposto
sink,hundir,lavatório
reporter,reportero,repórter
nurses,enfermeras,enfermeiros
beats,latidos,batidas
priority,prioridad,prioridade
Johnson,Johnson,Johnson.
interrupting,interrupción,interrompendo
gain,ganar,ganho
fed,alimentados,Fed.
Bennett,Bennett,Bennett.
warehouse,depósito,armazém
virgin,Virgen,virgem
shy,tímido,tímido
pattern,patrón,padronizar
loyalty,lealtad,lealdade
inspector,inspector,Inspetor
events,eventos,Eventos
candle,vela,vela
pleasant,agradable,prazeroso
media,medios de comunicación,meios de comunicação
excuses,excusas,desculpas
duke,duque,duque
castle,castillo,castelo
threats,amenazas,ameaças
Samantha,Samantha,Samantha.
permanent,permanente,permanente
guessing,adivinación,adivinhação
financial,financiero,financeiro
demand,demanda,exigem
Darla,Darla,Darla.
basket,cesta,cesta
assault,asalto,assalto
Ali,Ali,Todos
tend,tender,tratar
praying,Orando,Rezar
motive,motivo,motivo
los,losis,los.
unconscious,inconsciente,inconsciente
trained,entrenado,treinado
Stuart,Stuart,Stuart.
Ralph,Ralph,Ralph.
museum,museo,museu
Betty,Betty,Betty.
alley,callejón,beco
tracks,pistas,faixas
swimming,natación,natação
range,abarcar,alcance
nap,siesta,sesta
mysterious,misterioso,misterioso
unhappy,infeliz,infeliz
tone,tono,tom
switched,cambiado,comutado
Rappaport,Rappaport,Rappaport.
Nina,Nina,Nina.
liberty,libertad,liberdade
bang,estallido,bang.
award,otorgar,prêmio
Sookie,Sookie,Sookie.
neighbor,vecino,vizinho
loaded,cargado,carregado
gut,intestino,intestino
Cooper,cobre,Tanoeiro
childhood,infancia,infância
causing,causante,causando
swore,juré,jurada
sample,muestra,amostra
piss,orinar,xixi
hundreds,cientos,centenas
balance,equilibrio,Saldo
background,antecedentes,fundo
toss,sacudida,sorteio
mob,multitud,multidão
misery,miseria,miséria
central,central,central
boots,botas,chuteiras
Valentine's,De San Valentín,Namorados
thief,ladrón,ladrao
squeeze,estrujar,espremer
